item_id,name,cuisine
_SM8UKIwBNbmj1r629ipoQ,Chianti Cafe,italian
l6QcUE8XXLrVH6Ydm4GSNw,Fatburger,fast food
AgtFQVxo-PGQVsOdY6Nvdg,Pizza Hut,pizza
muqFM9Hoamh_fGL4MPeZqg,Fado Irish Pub,irish
AFDFOs2GaIyUArGyEUDQzQ,Cafe Noodle & Chinese Barbeque,chinese
FV16IeXJp2W6pnghTz2FAw,Pho Kim Long,chinese
cvJDHk1ho0DxaF26etcr8Q,"Oiga, Mire, Vea Colombian Cuisine",latin american
10UcN8MF1kQiyTJAfHKvfQ,Courtyard Deli,sandwiches
R5e2XWtpa_CA77MIXEyCTg,Subway,sandwiches
CoJivG0wxNIBXyOF7MNqSQ,Pho Vietnam Restaurant,vietnamese
pCobXgTy6DIfBaT4pjlq0w,Einstein Bros,sandwiches
qbXEkNp310Mc0CIs0YJdSg,Sesame House,sandwiches
V8id7mkt3nJYOD_HthEn1w,China Joe's,chinese
JgpKLikZPbbXYPtILy3-wg,Las Pupusas Restaurant,mexican
9-O8qKGQQCYXdBlj4iv7bw,Romano's Macaroni Grill,italian
PsOvURXqpy8iZX2J8y429A,Landry's Seafood,seafood
Yq8LiVymGA7vBpGCQuDfRw,Pho So 1,vietnamese
nzQJqTrcazg23EjdaHgqDg,Pho Nhu  Y,vietnamese
UKKz4HdQC0aH9j5lLi4u8Q,Tofu Hut,barbeque
A2aVN_Yw3xDz4x7gGtmYog,Tacos El Burrito Loco,mexican
euGwFsKJAkkO7kdgOkT9qg,Dotty's #7,
IALHPP1RDtpXV9KnUM0EQQ,PT's,american (new)
LM71VvmoAWDD5z8h7XoVig,Samosa Factory,vegan
k5h1lqeM70OM3JJdrYH5IQ,Lone Star Steakhouse & Saloon,steakhouses
pNqHRWlrbh71zbPZNd7_2g,Rice To-Go,chinese
idvjjh3yCDu7Hupzl89iQw,Wienerschnitzel,fast food
Gv3ivlNN44OJbb1KxVAPRQ,Hawaiian Hale,hawaiian
4jxe81SmrVLp_XDUIpXYMg,Kfc,fast food
UVZ5auVZrbvgJ0VbWW_P8Q,Pizza Hut,pizza
SvS58LlrEMHjSwJmpJNKGA,Jimmy John's,sandwiches
RfR5yc4j9coIPBuxRsOW8Q,Aloha Kitchen & Bar,hawaiian
yY5y9PjyPWd-8Pl1XkkBVA,The Triple Play,american (traditional)
Vkm6ZWlPhIioFk6xiypSjg,Chinatown Express Restaurant,chinese
4qHd6e7kAL9dszYrQUkjLg,Red Robin,american (traditional)
7sw8yneJ0H2CUf-4sBKP0w,Church's Chicken,chicken wings
-NXDZfqwfZ9OWba180HqFw,Tacos Mexico,mexican
oMgp0SW0fwyxT-bj4SEL_g,Epoy's Filipino Fast Food,filipino
cZxez9tUb9hqV3KXq5YPAQ,India Oven,indian
ocZ8pz-8iSz5avdPKnoalA,Nozomi Japanese Restaurant,japanese
fUdr6QMsrBGOYpxS6Dcjdg,Coffee Pub,breakfast & brunch
GLWix4aqJoD4HyvKqLdP8A,The Broiler,steakhouses
4UVhuOLaMm2-34SrW8y-ag,Ichiza,japanese
PTbikfcSHR1dTze0EJQMlA,Gianna's Pizza,pizza
t0PNqBiITGf_AY6uNsaD5g,Boomer's Bar,american (traditional)
1ldDbggHHgPlj3k0SpBTKQ,Sam Woo BBQ Restaurant,chinese
MR3-Ll-hoUGZMA-B1MTgGQ,Wendy's,fast food
0EZ3j0POS4FC5zYjUDU4Cg,Sushi House Manda,japanese
v8TQwyxEj4or2Yng6y0S7A,Korean Garden BBQ House,barbeque
YZuHOgbKiP3dN4_ROOUyDQ,Golden Steer,steakhouses
sewf0n2bOKcKTvy2Xo1H8g,Carl's Jr Restaurants,fast food
eoDEx1GGQA0CBDhy2ql_Kw,Omelet House,american (traditional)
Yin_BwfzTOdC8VY9ZD4K6w,Capriotti's,sandwiches
JBMfMZS_Oac8_ktOULqTAg,Montesano's Italian Deli,italian
mjgs24NO7oZvwafPKN5dDw,Panda Express,chinese
QkVSaXjg5475VD3sZixCZQ,Habib's Persian Cuisine,middle eastern
pj0vl4DIlDCChe80Df40Yw,Food Express Chinese Restaurant,chinese
MI0OfnmlfkUh2xPhT1lQSg,China Star,chinese
FkXmvdpccuMFfNI6zgmXEA,El Pollo Loco,mexican
FM1Jlw53TB-lxqlXIdxrQg,Best Burger,burgers
Bs7FcmlfHfCq2lf-FUKLCw,Roberto's Taco Shop,mexican
FZ_ne5hPqmeEesVZphq_3Q,Chili's Grill & Bar,tex-mex
xxOQ7h6s3InV8o8DOVHlMA,Island Style,hawaiian
UsZ9ZvDh8Fo5mZeKs4w9mg,Chapala's Mexican Restaurant,mexican
ChnL7kA9lbcMVmmCvnecZQ,El Steak Burrito,mexican
V3S6RpKgYc5XCLjgI9JeeQ,Diamond China Restaurant,chinese
dR-Zz3l3ws-P08dI6F8Zew,Royal Thai Restaurant,thai
9JZzT2BMalNseFn11x5EIQ,Cafe Verdi,italian
pPJyi5kggzTibTxSPuRd0g,Osaka Japanese Bistro,japanese
SWTc_3L9Y4SKyNs_OhqeIg,Jimmy John's Gourmet Sandwiches,sandwiches
CHhYILNXTM3DIhmnpXlB3Q,Chopstix Express,chinese
a_qTdBz81-tgsd3UGmaT5Q,Skinny Dugan's Pub,american (new)
SfrHdU4NCkYWvERnWaOUqQ,Blueberry Hill Family Restaurant,diners
PSSb7S4t8j4W3RtjY-9fiQ,Jack in the Box,fast food
ZR87Qw2sB-ljFWClGk6X0A,Taco Bell,fast food
J7azgDB3RQOVFHfyVEk5HA,Macayo Vegas,mexican
kAlR7X4jiDPZdISJAAKkmg,Baja Fresh Las Vegas,mexican
Xo7K1LugLnT4pGc5TtwHRA,TGI Friday's,american (new)
Tigw_9LXyHL63Eu3XAXwRw,Emperor's Garden,chinese
zFcd_gelAUEwAvJOgiZpvg,Joyful House Chinese Cuisine,chinese
bqYrEwL5xjqv0u8XAij--Q,Tea Station,taiwanese
0ACVidzreTcv88AHqWXqNA,Subway,sandwiches
YqeK6ARj8ojseNCIYdg5WQ,Seoul Korean Bar B Q Restaurant,korean
HxV4JCF-h0Novbbz5doapA,White Cross Drugs,cafes
ZndQfdbLU8pnD7b6_Z05KA,Blueberry Hill Family Restaurant,breakfast & brunch
0jkZZRywo3wlmZcuCFbSEg,Macayo Vegas,mexican
RlUxQZja-n9J0oPi24g8DQ,Lucky's Cafe,diners
uy9IblmbJogF1TEUc6JHzw,Buffet At the Stratosphere,buffets
83C1eqPfmQHTy_8MC4Ug6w,Roxy's Diner,diners
4Bjn6QdaJIvsmcspcucOkA,Jack In the Box,fast food
dH3rJa4JSxmlyAwg8kPLOQ,Denny's,diners
q0aoi6vsi9TBU5-k3FfOOw,Boston Pizza,pizza
cJTgJTzEWg5ErWnvaHsUBA,Florida Cafe Cuban Bar & Grill,cuban
DqzyOJTJXu0Iwi8og5DJDA,Ocha Cuisine,chinese
CR9F3ZctIiJqawDaa1w3IA,Esmeralda's Cafe,mexican
KHsTmXPujzm6-VrnyhT0dw,Rincon Criollo,cuban
xNyTjXh2FRuT4Z8Ncj9WhA,PT's,american (new)
c8eY_s8VO4qjAhOXo3Ua2g,Italian American Club Restaurant,italian
0aV8mzabKSFylfi0NQGqlQ,Los Tacos,mexican
6S8VwQ22xdj7rOX00SceJg,Cafe Heidelberg German Market & Restaurant,delis
KwLfgeylp9d8zY3KacREiw,Komol Restaurant,vegan
DNpz7hPQtIpzInSQIWmVTw,Tony Roma's,american (traditional)
e15ZAv4Tcgkae-ZfCf3SXw,Elephant BBQ Restaurant,barbeque
6jdKnIjJ9n5knZoSj7qtDw,Taco Bell,tex-mex
QXUI3ZEnPw0j55qjwjiOnA,Tokyo Japanese Restaurant,japanese
-5biAn5qQYk3X5NYlA98pw,Birrieria Jalisco,mexican
YkRwenPlQRloPFOX5l-iEA,Sahara Korean Restaurant,korean
SdVDnb279GGs2qAUSVz05A,Pinoy Pinay Filipino Restaurant,filipino
KdJJFvYI9w5xF0EVYPbXMA,Broadway Pizzeria,pizza
3yngAIX96guuZeZ3wbpGdQ,Lacabana,mexican
S3EALtejgXNU4rfui6IriQ,Quiznos,sandwiches
nVPe8vSrvGStsupNliN9nA,Italia Express,italian
ZIUGkjX2C7a39Ntbm1kUSQ,Auntie Anne's Soft Pretzel,fast food
sFHj_WK6rzEeGcJxtvxrRQ,Jack in the Box,fast food
BxmtmGLXI3EEjhVSYiuK0w,Popeye's Famous Fried Chicken,chicken wings
lDxRfwppdtRPixGb94M4LA,Seven Seas Restaurant & Lounge,soul food
X4B9b-0zEClDIiN0AyCdcQ,Churchs Chicken,fast food
b6qYCOz0vzJW4U81XLY8IA,Mario's Westside Market,soul food
bPUwJQyifP24uhGrou_64g,Wendys,hot dogs
X3KntOlUTkVL4KUKQcPehw,Roberto's Taco Shop,mexican
3-nZku9T-trCsNpF6AsjgA,Port Of Subs,sandwiches
nF_mARnVRFQpS3boDNgy_w,Smoke Ranch Junction,
q28CkzJaV5yKPXysY8xewA,Buffet @ Asia,chinese
310xHIFxZKqthaPlkQ0_dg,O'aces Bar & Grill,
CEF6X27u5XW-oMbJ81N7Rg,Joey's Pizza,pizza
2hamzyOZt6urf6pFnf2u6g,Souper Salad,american (traditional)
U0ZAoQx7ABrj9BGjbf5WmA,Roberto's Taco Shop,mexican
QXTN5WwZxvf-Z940RmDUdQ,Thai Grill,thai
yTITK0nlyEUmPpuxMlYdQw,Omaha Steaks,steakhouses
jjYxQMJrOpz-Z7ziFtXxBw,Pick Up Stix,chinese
X0cEpOYi0Gf-S_-xb8OZVQ,Pin Kaow Thai Restaurant,thai
No0SNrxkX6ADEde-9QwtMw,Chili's Grill & Bar,tex-mex
CpUPzwk4rsV6UUgqEu1nqQ,Tony Roma's,american (traditional)
rAZglrxLotA9xaa7KPXV5g,Pepe's Tacos,mexican
PuST-CDb8kDKLX7_ESVyeQ,O'Aces Bar & Grill,american (traditional)
jhO8q-4sAvlkEUC3HbBRmw,Joe's Crab Shack,american (traditional)
SfHdMvLXrOeJmgpQB6AFRA,Sunshine Cafe,diners
XaJQnEg63F-CJ9kNhcqOjw,China Joe's,chinese
d0cISYKFpXM55FzrMShLmw,Yoko Hama Sushi,japanese
0Em690KhL9M-WqwdWlPRfA,Fair View Chinese Cuisine,chinese
Xro3j2fouA42Stc540ZDvw,Applebee's,american (traditional)
Rhdmmw6a0qdKE198eSCIJg,Sonic Drive-In,fast food
Fw95xLMdwO9LoOtbBThr9w,Romano's Macaroni Grill,italian
2Hh2SOWvp5IkAAO4PQ0n2Q,Torrey Pines Pub,american (traditional)
0lQDOFqEVB1LQhkS2kN1RA,Griddlecakes,breakfast & brunch
Trlr-E66o3UHjTbuybRGVg,Subway,sandwiches
7hZGtb0Gd3aRcG1VH-Udcw,International House of Pancakes,breakfast & brunch
pcIPHOoQZuQFfarij73Qcw,Wendys,fast food
aBQbdQz_xQaw0-hNDk5TKg,Papa John's Pizza,
TwLwfoq4zYGNKSiDHflh7w,Viva El Taco,mexican
LcVBQ-7aF87OR-vlKX5m-Q,Olive Garden Italian Restaurant,italian
H2dKOR0fzYiv7ebVk3ELzw,The Teriyaki Company,japanese
vhjdXf1dpYpV_unDVMFuEg,McDonald's,fast food
MDtMPwFswJ2FsNvrF34GDA,Tacos Los Toritos,mexican
SSaoS_UgB7VgA9OavxZIbA,China Olive,chinese
zlqTqki1aZUAuVnDsFsvYg,Sonic Drive-In,fast food
u8eDm6srUIpPuTS7Qt6xHw,La Mojarra Loca,mexican
CPTiooPIwzbM-WJc1Rsytg,KFC,chicken wings
vTjwSPEpaPdqUtjPk7lRyA,Denny's Restaurant,diners
cD2VsBOKxygjV7BKbU8SRA,Applebee's Neighborhood Grill & Bar,american (traditional)
G9u_zp_sF3wumgk1gaILKw,Wendy's,fast food
qKZzLdcMouXji7YASALbBw,Blueberry Hill Family Restaurant,
7P9k2NQPeIyF1TkH5cKQVg,Lao Thai Kitchen,thai
aXgzCfEzgi9T998rQyZFvA,Big Dog's Bar and Grill,american (traditional)
vkOmXXrO-ALfz76TF6s_Gg,Popeye's,chicken wings
hhC02OKU6BWRvrNJQiEIUw,Munch A Sub,sandwiches
CApvjaNmMJUnfzz5hVpjrA,Taco Bell,tex-mex
7A6RHKyblsmvHf2F377WMQ,Roberto's Taco Shop,mexican
ff00hYO8rPFDOF8YKhLTdw,Domino's Pizza,chicken wings
T2NesLFF9Xhlho3iw8i53g,Felipito's Mexican Food,mexican
e-eqwMPMDXPYSdwkQbYhSw,Cheng's Express,chinese
sC58XGwsZowovN1CnKktOg,O'Aces Bar & Grill,american (traditional)
I5vURIFijxnW2sdaDl7bpw,Tacos El Nopal,mexican
v_M8BMz3O93iwFtpkCT9nA,Normandie,french
qp6lyLN1TuRu3vkwbdRjlA,Memphis Championship Barbecue,barbeque
a9Z5KKEDaC4Y4MHiRZhzzA,PT's,american (new)
QTJdaJ9IWf0fC0bK2Bdw7Q,Nikki Lee's Sports Pub & Grill,pizza
qdAxH_RrFaYqLD-g30N2fA,Original Pancake House,breakfast & brunch
co21KMC055CxSMzdMeD0XQ,Brewery Bar & Grill,american (traditional)
9WlnoukRsZyFwOAd6Ycbmg,Port of Subs,sandwiches
ky6c1bhp1695tWLfnyKOyQ,Kabob Grill,middle eastern
v9JixZ_wMP6-ftb4EYTqIg,Jack in the Box,fast food
NNSDXtjgNUNAgQH99R0yWw,PT's,american (new)
957AgCsV5hhFLDJ5aw546w,Panda Express,chinese
bXfMEP__URx7f-s1GT8Teg,Super Mex Restaurant & Cantina,mexican
zizuoDgDkNCtBzCj8T-Jbg,Subway,
96rDpZ2OBW293QNWPIPV7g,Office 5 Bar & Grill,american (traditional)
OWQJrnXbWkLTI1-qRkkUpQ,Golden Flower Chinese Cuisine,chinese
ZZtEx_UutNxz9B5knTL4tQ,Mr. Chop Chop,chinese
Rk-axrNaCJ2D2iNW--PkQg,Philly Cheesesteak Factory,cheesesteaks
g2ZRZXEKxj0SL86etbydcg,Taco Bell,tex-mex
BSlmhfVEsy16C_ZUpcyB8w,Bob's East Side Deli,sandwiches
VRtVE5VHgVUISPxV3jY_CQ,McDonald's,fast food
w9KBaltlg7B_tca-nNfj_A,Amlee Chinese Cuisine,chinese
rlrc_AQC4Wn-_GKuzmrfGQ,Capriotti's,sandwiches
4PrxqzfatLLxn9ZCTW9lKw,Sonic Drive-In,fast food
ULVe1zN3HpNeVeTvRaNXoA,Jack in the Box,fast food
RnuCCKK-5Ezfz0xv0F2kag,Del Taco,mexican
aF6QsiiI3DZ2QL_6Oo5SSA,Port of Subs,sandwiches
xSAG_asR5if0p1Dfk0ISsg,Billy Bob's Steakhouse,steakhouses
thlVek1kUo3fyxUEap65zw,Willy & Jose's,mexican
wcrmyGHXNWFXU0DiLq_Miw,Denny's,diners
L0uKIbds8dUVCuXIWE1q5g,Burger King,fast food
